FirstName,LastName,Email,BirthDate,HireDate,JobTitle,Password,EmailNickName
Tine,Huddlestone,thuddlestone0@createdevpt.onmicrosoft.com,01/17/2000,11/13/2000,Operator,pass@word1,thuddlestone0
Mimi,Forestall,mforestall1@createdevpt.onmicrosoft.com,03/05/2000,07/06/2000,Quality Engineer,pass@word1,mforestall1
Evaleen,Keneford,ekeneford2@createdevpt.onmicrosoft.com,08/23/2000,11/03/2000,Staff Accountant IV,pass@word1,ekeneford2
Manolo,Larkkem,mlarkkem3@createdevpt.onmicrosoft.com,09/26/2000,01/05/2000,Social Worker,pass@word1,mlarkkem3
Florencia,Gherardelli,fgherardelli4@createdevpt.onmicrosoft.com,01/31/2000,01/25/2000,Financial Analyst,pass@word1,fgherardelli4
Gasper,Munt,gmunt5@createdevpt.onmicrosoft.com,08/12/2000,06/19/2000,Web Developer IV,pass@word1,gmunt5
Elna,Iley,eiley6@createdevpt.onmicrosoft.com,05/18/2000,11/08/2000,Desktop Support Technician,pass@word1,eiley6
Dannie,Vreede,dvreede7@createdevpt.onmicrosoft.com,04/24/2000,01/22/2000,Chief Design Engineer,pass@word1,dvreede7
Gwenette,Catterell,gcatterell8@createdevpt.onmicrosoft.com,05/14/2000,05/03/2000,Paralegal,pass@word1,gcatterell8
Edith,Cressar,ecressar9@createdevpt.onmicrosoft.com,10/10/2000,04/07/2000,Recruiter,pass@word1,ecressar9
Thorin,Broadberry,tbroadberrya@createdevpt.onmicrosoft.com,06/07/2000,02/08/2000,Environmental Tech,pass@word1,tbroadberrya
Nannette,D'Souza,ndsouzab@createdevpt.onmicrosoft.com,04/10/2000,08/19/2000,Analog Circuit Design manager,pass@word1,ndsouzab
Rora,Lillie,rlilliec@createdevpt.onmicrosoft.com,07/02/2000,04/12/2000,Software Test Engineer II,pass@word1,rlilliec
Easter,Poundford,epoundfordd@createdevpt.onmicrosoft.com,08/22/2000,04/19/2000,Assistant Manager,pass@word1,epoundfordd
Pren,Di Baudi,pdibaudie@createdevpt.onmicrosoft.com,06/01/2000,06/15/2000,Nurse,pass@word1,pdibaudie
Marna,Widdows,mwiddowsf@createdevpt.onmicrosoft.com,02/20/2000,11/02/2000,Dental Hygienist,pass@word1,mwiddowsf
Frank,Gallier,fgallierg@createdevpt.onmicrosoft.com,08/06/2000,01/30/2000,GIS Technical Architect,pass@word1,fgallierg
Kellen,Matschuk,kmatschukh@createdevpt.onmicrosoft.com,01/16/2000,05/08/2000,Editor,pass@word1,kmatschukh
Mahalia,Innwood,minnwoodi@createdevpt.onmicrosoft.com,02/20/2000,12/13/2000,Speech Pathologist,pass@word1,minnwoodi
Gabriel,Luther,glutherj@createdevpt.onmicrosoft.com,08/26/2000,09/28/2000,VP Sales,pass@word1,glutherj
Kelsy,Westcot,kwestcotk@createdevpt.onmicrosoft.com,11/08/2000,01/20/2000,Help Desk Operator,pass@word1,kwestcotk
Casar,Barrows,cbarrowsl@createdevpt.onmicrosoft.com,03/25/2000,12/12/2000,Geologist III,pass@word1,cbarrowsl
Talbot,Klarzynski,tklarzynskim@createdevpt.onmicrosoft.com,09/16/2000,09/12/2000,Senior Developer,pass@word1,tklarzynskim
Willow,Boxe,wboxen@createdevpt.onmicrosoft.com,07/21/2000,06/07/2000,Pharmacist,pass@word1,wboxen
Harry,Handke,hhandkeo@createdevpt.onmicrosoft.com,01/25/2000,12/01/2000,Health Coach IV,pass@word1,hhandkeo
Aloisia,Harcase,aharcasep@createdevpt.onmicrosoft.com,07/10/2000,01/26/2000,Speech Pathologist,pass@word1,aharcasep
Frasier,Andrzej,fandrzejq@createdevpt.onmicrosoft.com,07/26/2000,01/26/2000,Account Coordinator,pass@word1,fandrzejq
Freddie,Quilligan,fquilliganr@createdevpt.onmicrosoft.com,05/24/2000,05/03/2000,Web Designer III,pass@word1,fquilliganr
Noak,Reddel,nreddels@createdevpt.onmicrosoft.com,05/17/2000,06/26/2000,Quality Engineer,pass@word1,nreddels
Win,Lowdham,wlowdhamt@createdevpt.onmicrosoft.com,11/29/2000,09/12/2000,VP Quality Control,pass@word1,wlowdhamt
Bibbye,Berns,bbernsu@createdevpt.onmicrosoft.com,05/17/2000,03/31/2000,Associate Professor,pass@word1,bbernsu
Loren,Eveque,levequev@createdevpt.onmicrosoft.com,01/21/2000,01/22/2000,Senior Sales Associate,pass@word1,levequev
Alistair,Rubinfajn,arubinfajnw@createdevpt.onmicrosoft.com,01/15/2000,07/14/2000,Cost Accountant,pass@word1,arubinfajnw
