FirstName,LastName,Email,BirthDate,HireDate,JobTitle,Password,EmailNickName
Flory,Jurasek,fjurasek0@createdevpt.onmicrosoft.com,11/25/2000,04/06/2000,Electrical Engineer,pass@word1,fjurasek0
Moyra,Leopard,mleopard1@createdevpt.onmicrosoft.com,08/15/2000,05/07/2000,Chief Design Engineer,pass@word2,mleopard1
Doralyn,Jeanenet,djeanenet2@createdevpt.onmicrosoft.com,05/26/2000,10/14/2000,Financial Advisor,pass@word3,djeanenet2
Joye,Theodoris,jtheodoris3@createdevpt.onmicrosoft.com,12/11/2000,01/27/2000,Software Consultant,pass@word4,jtheodoris3
Fritz,Lockhart,flockhart4@createdevpt.onmicrosoft.com,08/22/2000,11/29/2000,Statistician I,pass@word5,flockhart4
Britt,Prue,bprue5@createdevpt.onmicrosoft.com,12/24/2000,04/13/2000,Software Test Engineer IV,pass@word6,bprue5
Ailina,Blackbourn,ablackbourn6@createdevpt.onmicrosoft.com,11/05/2000,09/22/2000,Programmer I,pass@word7,ablackbourn6
Rayshell,Fihelly,rfihelly7@createdevpt.onmicrosoft.com,08/09/2000,01/01/2000,Electrical Engineer,pass@word8,rfihelly7
Katine,Lemmon,klemmon8@createdevpt.onmicrosoft.com,04/20/2000,11/26/2000,Research Associate,pass@word9,klemmon8
Sidnee,Lishmund,slishmund9@createdevpt.onmicrosoft.com,11/12/2000,10/11/2000,Programmer II,pass@word10,slishmund9
Janos,Elderton,jeldertona@createdevpt.onmicrosoft.com,04/06/2000,05/07/2000,Financial Advisor,pass@word11,jeldertona
Templeton,Philippson,tphilippsonb@createdevpt.onmicrosoft.com,04/02/2000,02/07/2000,Office Assistant III,pass@word12,tphilippsonb
Austina,Boatwright,aboatwrightc@createdevpt.onmicrosoft.com,12/19/2000,03/11/2000,Accountant I,pass@word13,aboatwrightc
Babara,Stivens,bstivensd@createdevpt.onmicrosoft.com,10/14/2000,12/26/2000,Biostatistician IV,pass@word14,bstivensd
Allis,Merigon,amerigone@createdevpt.onmicrosoft.com,09/27/2000,01/27/2000,Analyst Programmer,pass@word15,amerigone
Wendy,Sackett,wsackettf@createdevpt.onmicrosoft.com,08/20/2000,07/14/2000,Business Systems Development Analyst,pass@word16,wsackettf
Hunter,Adame,hadameg@createdevpt.onmicrosoft.com,08/18/2000,04/11/2000,Recruiter,pass@word17,hadameg
Ruben,Branford,rbranfordh@createdevpt.onmicrosoft.com,07/24/2000,12/11/2000,Project Manager,pass@word18,rbranfordh
